Role Model,Values,Location,Gender,Known For,Category,Fame_L,Fame_G
Mahatama Gandhi,"compassionate, Agile, truthfulness, Adventure, resilient, Idealism, Courageous, Passionate",India,Male,"Leadership, Non-voilence, freedom, politics",Social Work,Universal,Universal
Mother Teresa,"Kindness, Compassion, Passionate, Love, Idealism, Selfless, Humility",India,Female,"Charity, helping poor, Church, NGO, selfless",Social Work,NA,NA
MARTIN LUTHER KING,"Intelligence, Inspirational, Passionate, Resilience, Inclusion, Empowerment, Idealism, Determination, Courageous",Uniited States of America,Male,"Civil right movement, Equality, Black rights, politics",Social Work,Universal,NA
NELSON MANDELA,"Empathy, Courageous, Forgiving, Resilience, Inclusion",South Africa,Male,"Civil rights, Equality, Native rights, politics",Social Work,Universal,Universal
GRETA THUNBERG ,"Futuristic vision, Persistence, Passionate",Uniited States of America,Female,"Climate change activits, NGO, enviornmentalist, public speaker",Social Work,NA,NA
MALALA YOUSUFZAI,"Courage, Resilience, Not afraid to be in Minority, bravery",Pakistan/England,Female,"People rights, noble prize, public speaker",Social Work,NA,NA
Kobe Bryant,"Resilience, Leads by example, Positivity, Competitive, Striving for Improvement, Self Belief",Uniited States of America,Male,"Basketball , LA lakers",Sports,Universal,Universal
Tiger Woods,"Drive, Adventure, Positivity, Resilience, Determination, Competitive",Uniited States of America,Male,"Golf, Athlete",Sports,NA,NA
Sachin tendulkar,"Devotion, Passion, Humility, Methodical, Hard Work",India,Male,"Cricket, batsmen",Sports,Universal,NA
Usain Bolt,"Practice, Perserverance, Competitive, Hard work",Jamaica,Male,"sprinter,  olympics, runner",Sports,NA,NA
Rafael Nadal,"Adaptability, Competitive, Humility, Love",Spain,Male,tennis,Sports,NA,Universal
Rhianna,"Humility, Confidence, Talent",United States of America,Female,"Singer, Fashionable, pop",Performing Arts,Universal,NA
AR Rahman,"Focus, Consistent Learning, Creativity, Originality",India,Male,"Film, Composer, singer, oscar",Performing Arts,NA,Universal
George Clooney,"Humanitarianism, Self Awareness, Social Intelligence",United States of America,Male,"Actor, Filmmaker, director, screenwriter",Performing Arts,NA,NA
Benedict Cumberbatch,"Control, Precision, Strength",United Kingdom,Male,"Actor, Sherlock, avengers, fantacy movies",Performing Arts,Universal,NA
Amitabh Bachan,"Humility, Competitiveness, Desire for success",India,Male,"Actor, action films, KBC",Performing Arts,NA,NA
Jeff Bezos,"Innovation, Realist, Staunch, Experimentalist, Risk Taker",United States of America,Male,"Entrepreneur, Amazon, aerospace, Technology",Business,Universal,Universal
Elon Musk,"Passion for innovation, Big Picture Approach, Scientific Approach",United States of America,Male,"entrepreneur, Paypal, Tesla, global warming, mars, cars, rockets, technology",Business,NA,Universal
Bill gates,"Focus,Big picture, Creativity, Education",United States of America,Male,"Computer Programmer, entrepreneur, Microsoft, Technology",Business,Universal,Universal
Steve jobs,"Innovative, Resilient, Visionary",United States of America,Male,"Entrepreneur, Apple, iPad, iPhone",Business,Universal,NA
Shakespeare,"Depth, Dreamer, Communication of Ideas",United Kingdom,Male,"English Literature, plays, classics, poetry",Literature,NA,Universal
J.K Rowling,"Unique ideas, Inspirational, Influence",United Kingdom,Female,"fantacy, harry potter, literature, writer, novel",Literature,Universal,NA
Roald Dahl,"Imagination, Keen sense of humor, Storyteller",United Kingdom,Male,"Spy, ace fighter pilot, author",Literature,NA,NA
